ID,Title,body,ux_smell,reasoning
2820,Regular expression replacement with an anchor improperly recurses on each line,"To remove a single leading space from each line of a file I did a regular expression replace-all: ""^ "" to """". This instead removed all leading spaces. I thought an anchor like ""^"" wouldn't be recursed unless some special recurse option was selected.

Eclipse IDE for Java Developers
Version: 2024-12 (4.34.0)
Build id: 20241128-0757",Inconsistent placement,Placement conflicts with user expectations.
1838,Compare-View: Cannot click to open folders,"<!-- Thank you for reporting this issue! -->
<!-- The following template is highly recommended to trigger an efficient course of actions: it's pretty suitable if you're not familiar with the project as it will guide you in sharing the most important information. If you're not comfortable with this template for your particular report, feel free to erase it and write your report from scratch -->

Let's make sure issue is not already fixed in latest builds first.

- [x] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)

## Steps to reproduce
When double-clicking on a folder, the folder doesn't expand/collapse. Instead, I need to use the ""drop-down""-arrow.
I expected:
the folder to open like in other views:
![2](https://github.com/eclipse-platform/eclipse.platform.ui/assets/16443184/5c24b6f4-7ebb-4969-a039-cb24582adaaf)

But got:
nothing happened:
![1](https://github.com/eclipse-platform/eclipse.platform.ui/assets/16443184/61e60e4a-51e3-420d-a42b-6f1331fae126)

## Tested under this environment:
**Operating System**
Windows
**Eclipse version**
Build id: I20240416-0300

## Community
- [x] I understand reporting an issue to this OSS project does not mandate anyone to fix it. Other contributors may consider the issue, or not, at their own convenience. The most efficient way to get it fixed is that I fix it myself and contribute it back as a good quality patch to the project.
",Unresponsive Element,Element appears actionable but does not respond usefully.
1612,"Setting the ""Maximized"" flag on an view break layout","IPresentationEngine defines the constant IPresentationEngine.MAXIMIZED

Setting this tag on a view or editor should maximize the element in its stack. MinMaxAddon is responsible for this. If you do this currently its breaks the layout.

![image](https://github.com/eclipse-platform/eclipse.platform.ui/assets/139910/65d33448-8a4a-43bd-a197-3684cdb3c70c)
",Bug,Describes incorrect system behavior rather than a UX smell.
250,FileNotFoundException /css/dark.css upon start of Eclipse 4.25 RC1,"### Environment

Windows 11 preview channel [Version 10.0.22622.450]

Eclipse Version: 2022-09 M2 (4.25.0 M2)
Build id: 20220804-1257

Eclipse 4.25 M1 has been updated to M2.

### Logged Error

**The exception below is logged at every Eclipse startup:**
```
java.io.FileNotFoundException: /css/dark.css
	at org.eclipse.osgi.storage.url.bundleentry.Handler.findBundleEntry(Handler.java:55)
	at org.eclipse.osgi.storage.url.BundleResourceHandler.openConnection(BundleResourceHandler.java:182)
	at java.base/java.net.URL.openConnection(URL.java:1094)
	at org.eclipse.osgi.storage.url.BundleURLConverter.resolve(BundleURLConverter.java:55)
	at org.eclipse.core.runtime.FileLocator.resolve(FileLocator.java:285)
	at org.eclipse.core.internal.runtime.PlatformURLConverter.resolve(PlatformURLConverter.java:53)
	at org.eclipse.core.runtime.FileLocator.resolve(FileLocator.java:285)
	at org.eclipse.e4.ui.css.swt.internal.theme.ThemeEngine.setTheme(ThemeEngine.java:466)
	at org.eclipse.e4.ui.css.swt.internal.theme.ThemeEngine.setTheme(ThemeEngine.java:434)
	at org.eclipse.e4.ui.css.swt.internal.theme.ThemeEngine.restore(ThemeEngine.java:605)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine.setCSSTheme(PartRenderingEngine.java:1417)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine.initializeStyling(PartRenderingEngine.java:1324)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine$5.run(PartRenderingEngine.java:1050)
	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:338)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine.run(PartRenderingEngine.java:1046)
	at org.eclipse.e4.ui.internal.workbench.E4Workbench.createAndRunUI(E4Workbench.java:155)
	at org.eclipse.ui.internal.Workbench.lambda$3(Workbench.java:643)
	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:338)
	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:550)
	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:156)
	at org.eclipse.ui.internal.ide.application.IDEApplication.start(IDEApplication.java:152)
	at org.eclipse.equinox.internal.app.EclipseAppHandle.run(EclipseAppHandle.java:203)
	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.runApplication(EclipseAppLauncher.java:136)
	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.start(EclipseAppLauncher.java:104)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:402)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:255)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:104)
	at java.base/java.lang.reflect.Method.invoke(Method.java:577)
	at org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:659)
	at org.eclipse.equinox.launcher.Main.basicRun(Main.java:596)
	at org.eclipse.equinox.launcher.Main.run(Main.java:1467)
```

**Message**

```
Severity: Error
Date: 8/8/22, 11:30:38.896
Message: /css/dark.css
```

**Session Data**

```
eclipse.buildId=4.25.0.I20220728-1800
java.version=18.0.1
java.vendor=Eclipse Adoptium
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Framework arguments:  -product org.eclipse.epp.package.java.product
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.eclipse.epp.package.java.product
```

### Our IIZI plugins

If this is of relevence, when we launch an Eclipse product for Run/Debug, our IIZI plugins attempts to retrieve the current theme using:

```java
ColorRegistry reg = PlatformUI.getWorkbench()
            .getThemeManager()
            .getCurrentTheme()
            .getColorRegistry();
```
that throws the exception that we catch:
```
java.lang.NullPointerException: Cannot invoke ""org.eclipse.e4.core.contexts.IEclipseContext.get(java.lang.Class)"" because ""this.e4Context"" is null
          	at org.eclipse.ui.internal.WorkbenchPlugin.getThemeRegistry(WorkbenchPlugin.java:599)
          	at org.eclipse.ui.internal.themes.Theme.<init>(Theme.java:66)
          	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.getTheme(WorkbenchThemeManager.java:290)
          	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.getTheme(WorkbenchThemeManager.java:300)
          	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.doSetCurrentTheme(WorkbenchThemeManager.java:225)
          	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.setCurrentTheme(WorkbenchThemeManager.java:329)
          	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.getCurrentTheme(WorkbenchThemeManager.java:255)
          	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.init(WorkbenchThemeManager.java:164)
          	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.getCurrentTheme(WorkbenchThemeManager.java:248)
          	at com.iizigo.ApplicationUI._calcTheme(ApplicationUI.java:225)
          	at com.iizigo.ApplicationUI.getInstance(ApplicationUI.java:382)
          	at com.iizigo.ApplicationUI.initialize(ApplicationUI.java:191)
          	at com.iizigo.Activator.start(Activator.java:1071)
          	at org.eclipse.osgi.internal.framework.BundleContextImpl$2.run(BundleContextImpl.java:818)
          	at org.eclipse.osgi.internal.framework.BundleContextImpl$2.run(BundleContextImpl.java:1)
          	at java.base/java.security.AccessController.doPrivileged(AccessController.java:569)
          	at org.eclipse.osgi.internal.framework.BundleContextImpl.startActivator(BundleContextImpl.java:810)
          	at org.eclipse.osgi.internal.framework.BundleContextImpl.start(BundleContextImpl.java:767)
          	at org.eclipse.osgi.internal.framework.EquinoxBundle.startWorker0(EquinoxBundle.java:1032)
          	at org.eclipse.osgi.internal.framework.EquinoxBundle$EquinoxModule.startWorker(EquinoxBundle.java:371)
          	at org.eclipse.osgi.container.Module.doStart(Module.java:605)
          	at org.eclipse.osgi.container.Module.start(Module.java:468)
          	at org.eclipse.osgi.framework.util.SecureAction.start(SecureAction.java:513)
          	at org.eclipse.osgi.internal.hooks.EclipseLazyStarter.postFindLocalClass(EclipseLazyStarter.java:117)
          	at org.eclipse.osgi.internal.loader.classpath.ClasspathManager.findLocalClass(ClasspathManager.java:570)
          	at org.eclipse.osgi.internal.loader.ModuleClassLoader.findLocalClass(ModuleClassLoader.java:335)
          	at org.eclipse.osgi.internal.loader.BundleLoader.findLocalClass(BundleLoader.java:397)
          	at org.eclipse.osgi.internal.loader.BundleLoader.findClass0(BundleLoader.java:500)
          	at org.eclipse.osgi.internal.loader.BundleLoader.findClass(BundleLoader.java:416)
          	at org.eclipse.osgi.internal.loader.ModuleClassLoader.loadClass(ModuleClassLoader.java:168)
          	at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:520)
          	at org.eclipse.osgi.internal.framework.EquinoxBundle.loadClass(EquinoxBundle.java:622)
          	at org.eclipse.core.internal.registry.osgi.RegistryStrategyOSGI.createExecutableExtension(RegistryStrategyOSGI.java:196)
          	at org.eclipse.core.internal.registry.ExtensionRegistry.createExecutableExtension(ExtensionRegistry.java:920)
          	at org.eclipse.core.internal.registry.ConfigurationElement.createExecutableExtension(ConfigurationElement.java:246)
          	at org.eclipse.core.internal.registry.ConfigurationElementHandle.createExecutableExtension(ConfigurationElementHandle.java:63)
          	at org.eclipse.ui.internal.WorkbenchPlugin.lambda$0(WorkbenchPlugin.java:287)
          	at org.eclipse.swt.custom.BusyIndicator.showWhile(BusyIndicator.java:74)
          	at org.eclipse.ui.internal.WorkbenchPlugin.createExtension(WorkbenchPlugin.java:285)
          	at org.eclipse.ui.internal.splash.SplashHandlerFactory$1.run(SplashHandlerFactory.java:122)
          	at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:45)
          	at org.eclipse.ui.internal.splash.SplashHandlerFactory.create(SplashHandlerFactory.java:118)
          	at org.eclipse.ui.internal.splash.SplashHandlerFactory.processElement(SplashHandlerFactory.java:103)
          	at org.eclipse.ui.internal.splash.SplashHandlerFactory.findSplashHandlerFor(SplashHandlerFactory.java:61)
          	at org.eclipse.ui.internal.Workbench.getSplash(Workbench.java:874)
          	at org.eclipse.ui.internal.Workbench$3.run(Workbench.java:773)
          	at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:45)
          	at org.eclipse.ui.internal.Workbench.createSplashWrapper(Workbench.java:827)
          	at org.eclipse.ui.internal.Workbench.lambda$3(Workbench.java:611)
          	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:338)
          	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:550)
          	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:156)
          	at org.eclipse.ui.internal.ide.application.IDEApplication.start(IDEApplication.java:152)
          	at org.eclipse.equinox.internal.app.EclipseAppHandle.run(EclipseAppHandle.java:203)
          	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.runApplication(EclipseAppLauncher.java:136)
          	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.start(EclipseAppLauncher.java:104)
          	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:402)
          	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:255)
          	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
          	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
          	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
          	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
          	at org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:659)
          	at org.eclipse.equinox.launcher.Main.basicRun(Main.java:596)
          	at org.eclipse.equinox.launcher.Main.run(Main.java:1467)
          	at org.eclipse.equinox.launcher.Main.main(Main.java:1440)
```
We proceed to add a theme listener using:  [_Ref$1_]

```java
PlatformUI.getWorkbench().getThemeManager().addPropertyChangeListener((themeEvent) -> {
    ITheme newTheme = (ITheme) themeEvent.getNewValue();
    newTheme.addPropertyChangeListener(colorListener);
}
```
where exceptions are not thrown.

As we get this NullPointerException, we have stopped executing:
```java
ColorRegistry reg = PlatformUI.getWorkbench()
            .getThemeManager()
            .getCurrentTheme()
            .getColorRegistry();
```
until we have received a `themeEvent` as described in the _Ref$1_ above.",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
678,Empty editor area lost borders,"With [this commit](https://github.com/eclipse-platform/eclipse.platform.ui/commit/c6aed67e8ae3356f35d9b94eaa9f090b7053a290) empty editors area lost borders if themes are disabled.

The minimize/maximize buttons looks odd and hanging in nowhere:

![image](https://user-images.githubusercontent.com/964108/229112449-9c91da55-3f99-4f2d-a314-9fdcc83ed424.png)

This should be fixed.
",Inconsistent Theming,"Theme tokens, colors, or styles are inconsistent."
64,IconAndMessageDialog / TitleAreaDialog: Improve accessibility of info/warning/error icon,"The info/warning/error icons in IconAndMessageDialog / TitleAreaDialog are not fully accessible:

- IconAndMessageDialog has an accessibility listener but no tooltip
- TitleAreaDialog has neither an accessibility listener nor a tooltip",Poor accessibility,"Contrast, visibility, or assistive technology support is poor."
511,"Provie an ""Import Project..."" shortcut in the context menu of the project explorer","Currently we provide the user with the choice of creating a new project (what opens a wizard for only project types) and ""everything"" (--> Others...). but for Import we show always all items.

As Projects are handled special by eclipse (and often are more important to users than other items) it would be good to have `Import Projects...` shortcuts that behave like we do in ""new"" scenarios.

This is actually already partly done with the ""File"" Menu where there is an entry named ""Open Projects from file System"" that behaves like this (but is not shown in the context menu).

So my proposal would be to unify this by showing ""Import Projects..."" in the menu and the context menu.",Distant Content,Needed action or content is buried behind an indirect path.
2759,"Help not shown in ""Import preferences"" dialog","**Describe the bug**
When pressing the ""help"" button in the _Import preferences_ dialog, nothing happens

**To Reproduce**
- Open _Window > Preferences_
- Click _Import_ button (on the lower left corner) --> The _Import preferences_ dialog shows up
- Click on the _Help_ button (lower left corner) --> **Nothing happens**

**Expected behavior**
Either the help should show show up or (if there is no help page) there should be no _Help_ button in the dialog

**Screenshots**

![Image](https://github.com/user-attachments/assets/1cc9022d-3639-418f-b58b-510a8b60c4aa)

**Environment:**
1. Select the platform(s) on which the behavior is seen:
- - [ ] All OS
- - [x] Windows
- - [ ] Linux
- - [x] macOS 

2. Additional OS info (e.g. OS version, Linux Desktop, etc)
Seen on:
- Windows 10
- Windows 11
- macOS 15.1.1

3. JRE/JDK version
```
-vm
D:/dev/java/temurin-jdk-21.0.3+9/bin\server\jvm.dll
```
Also on **23.0.1+11**
 
**Version since**
~Seen on **2025-03** (Build ID: I20250115-0110) but it probably dates to earlier versions.~
Seen in 2020-06 (see https://github.com/eclipse-platform/eclipse.platform.ui/issues/2759#issuecomment-2615334464)",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
1792,Textreader doesn't read the description of preference pages ,"![Screenshot 2024-04-03 131747](https://github.com/eclipse-platform/eclipse.platform.ui/assets/137054346/0a8fdd52-7b59-4892-944b-ec54a2f7b9c5)

The issue: The TextReaders doesn't read the description in the preference pages.  
This issue can be reproduced with JAWS or Narrator TextReaders.

The reason of this issue is that the description label (createDescriptionLabel) that was created in the ""org.eclipse.jface.preference.PreferencePage"" doesn't get the focus.


",Poor accessibility,"Contrast, visibility, or assistive technology support is poor."
1294,Duplicate project names handling in SmartImport wizard is broken,"According to https://github.com/eclipse-platform/eclipse.platform.ui/blob/f4f59cebf2d6e22201284f6722eeefa4d1929115/bundles/org.eclipse.ui.ide/src/org/eclipse/ui/internal/wizards/datatransfer/SmartImportJob.java#L608C1-L608C1 there should be a graceful project name handling in case of duplicates. Unfortunately the wizard using https://github.com/eclipse-platform/eclipse.platform.ui/blob/master/bundles/org.eclipse.ui.ide/src/org/eclipse/ui/internal/wizards/datatransfer/SmartImportRootWizardPage.java already blocks triggering the SmartImportJob due to the conflicting project names (although coming from another root folder):

 
<img width=""882"" alt=""Screenshot 2023-11-08 at 16 35 20"" src=""https://github.com/eclipse-platform/eclipse.platform.ui/assets/185025/f643119e-46f2-4244-a45f-294f4571e441"">

The validation probably needs to be relaxed as at least for Maven projects duplicate folder names are quite common (in separate repositories).",Bug,Describes incorrect system behavior rather than a UX smell.
870,multiple selection for replace preview when we use CTRL+H to replace in multiple files,"Add select or deselect multiple items once someone hits the replace button, inside preview mode i mean. inside of this view you can add also a checkbox that when it's selected, it can select all the items that is going to be affected by the replace action.

below I show the context of what I'm talking about, in general if you would like to select or deselect multiple items that's not possible in preview mode. Typically, multiple item selection is done using the shift key, similar to selecting files on a computer.

![image](https://user-images.githubusercontent.com/47365826/224580312-c81fea17-87d1-4e18-81d2-b164bca2c1cd.png)

![image](https://user-images.githubusercontent.com/47365826/224580323-a137c54c-222d-422a-ab30-fcbc8fd5c25a.png)

![image](https://user-images.githubusercontent.com/47365826/224580283-8434f7b9-6b28-4a85-b1be-8b58a897ee5b.png)

",Forced Bulk Action,Flow forces multi-item handling instead of single-item action.
176,"Ugly source code colorscheme after change theme to ""System theme""","I'm using dark theme on gnome-shell and others tools. Some time ago I've been trying using dark theme in Eclipse making changes manually on ""prefs"" files in my workspace. But I was still not satisfied and tried to use ""System theme"" and Eclipse looks better for me, but I've some issues (Eclipse 2022-06):

1. After I've changed the theme to ""System theme"", source code looks by default like ""Light"" theme.

![image](https://user-images.githubusercontent.com/2575708/176345999-39177366-b92b-424b-b1db-e88ca2b1586f.png)

2. After I tried to customize colorscheme to one that I was doing I could not spot the properties to make the appropriate changes for ""hover"" over tabs and highlight of some piece of code that are still with grey color on bg.

![image](https://user-images.githubusercontent.com/2575708/176348384-ea93e02f-8f21-4366-bfb9-c58c7600e021.png)

![image](https://user-images.githubusercontent.com/2575708/176348273-cee1a2f6-56e1-4815-b8f8-8fa66db4ce3e.png)

Could someone assist me?

Best regards,
Moabson",Inconsistent Theming,"Theme tokens, colors, or styles are inconsistent."
1624,"""A conflict occurred for CTRL+/""","and `A conflict occurred for CTRL+7:`
this error is logged, but both handlers seem to have a  non conflicting 
`org.eclipse.jdt.ui.propertiesEditorScope` vs
`org.eclipse.jdt.ui.javaEditorScope`
and don't show a conflict in the
key preferences:
![image](https://github.com/eclipse-platform/eclipse.platform.ui/assets/51790620/42e6e9cc-2f09-4c3a-b866-ebdf699a872c)

```
A conflict occurred for CTRL+/:
Binding(CTRL+/,
	ParameterizedCommand(Command(org.eclipse.jdt.ui.edit.text.java.toggle.comment,Toggle Comment,
		Toggle comment the selected lines,
		Category(org.eclipse.jdt.ui.category.source,Source,Java Source Actions,true),
		WorkbenchHandlerServiceHandler(""org.eclipse.jdt.ui.edit.text.java.toggle.comment""),
		,,true),null),
	org.eclipse.ui.defaultAcceleratorConfiguration,
	org.eclipse.jdt.ui.javaEditorScope,,,system)
Binding(CTRL+/,
	ParameterizedCommand(Command(org.eclipse.jdt.ui.edit.text.java.toggle.comment,Toggle Comment,
		Toggle comment the selected lines,
		Category(org.eclipse.jdt.ui.category.source,Source,Java Source Actions,true),
		WorkbenchHandlerServiceHandler(""org.eclipse.jdt.ui.edit.text.java.toggle.comment""),
		,,true),null),
	org.eclipse.ui.defaultAcceleratorConfiguration,
	org.eclipse.jdt.ui.propertiesEditorScope,,,system)
```
eclipse.buildId=4.31.0.I20240204-1800
java.version=21.0.2

i can not remember to have seen that error entry previously. was there any recent change related?

",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
3050,[Tree/Table Image] The item image is wrongly scaled with Eclipse 4.36,"When switching from Eclipse 4.35 to 4.36 then the tree and table images are wrongly scaled when creating an image with `org.eclipse.swt.graphics.Image.Image(Device, ImageDataProvider)` which was suggested in https://github.com/eclipse-platform/eclipse.platform.swt/issues/1411#issuecomment-2298236765

In this example, the app is running with `-Dswt.autoScale=200` which works with Eclipse 4.35 but with Eclipse 4.36 the image bounds is doubled

<img width=""1128"" alt=""Image"" src=""https://github.com/user-attachments/assets/e33e393b-336d-41c3-89a0-048da42133c5"" />

After debugging I found the code where the scaling returns the wrong values

<img width=""1859"" alt=""Image"" src=""https://github.com/user-attachments/assets/0b1908e6-2157-44d1-b0ee-6cbc261e1b78"" />
",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
3059,Consider in add support to remove trailing white spaces on all lines for a non Java file,"Hello

Could you consider in add support to remove trailing white spaces on all lines for a non Java file?
It such as for example for: .xml, .js, .gradle, .html, .css, .properties, .sql files, etc.

Thank You",No UX,Issue does not clearly concern user experience.
